Site	Theta	Phi
E1	104.85	36.55
E2	92.44	44.75
E3	81.36	52.64
E4	71.48	59.77
E5	60.43	66.17
E6	49.19	72.99
E7	38.73	79.27
E8	28.39	89.99
E9	-17.38	-67.15
E10	101.33	50.59
E11	90.54	59.00
E12	79.29	67.51
E13	69.06	74.72
E14	58.28	82.10
E15	48.24	89.99
E16	-38.73	-79.29
E17	-28.20	-60.43
E18	98.44	66.42
E19	89.20	74.20
E20	78.61	82.24
E21	68.20	90.00
E22	-58.28	-82.11
E23	-49.19	-73.00
E24	-39.92	-58.32
E25	97.39	82.49
E26	88.86	90.00
E27	-78.60	-82.24
E28	-69.06	-74.73
E29	-60.43	-66.18
E30	-52.16	-55.00
E31	105.19	90.00
E32	-97.39	-82.49
E33	-89.20	-74.20
E34	-79.28	-67.51
E35	-71.48	-59.78
E36	-62.72	-54.10
E37	-98.43	-66.43
E38	-90.53	-59.01
E39	-81.36	-52.65
E40	-71.26	-46.79
E41	-59.95	-42.94
E42	-48.11	-41.05
E43	-37.35	-37.62
E44	-25.30	-31.96
E45	-12.02	-17.77
E46	-101.33	-50.60
E47	-92.44	-44.76
E48	-82.48	-38.58
E49	-71.05	-33.25
E50	-58.14	-29.10
E51	-45.99	-24.56
E52	-35.11	-16.93
E53	-22.02	-0.31
E54	-104.84	-36.55
E55	-94.06	-30.76
E56	-82.08	-24.50
E57	-69.33	-19.67
E58	-57.05	-15.17
E59	-45.16	-7.86
E60	-33.66	6.14
E61	-106.18	-20.43
E62	-93.65	-14.70
E63	-80.46	-10.04
E64	-68.11	-5.92
E65	-55.76	-0.74
E66	-45.98	9.19
E67	-116.09	-9.59
E68	-104.66	-6.12
E69	-93.08	-0.31
E70	-79.58	3.94
E71	-66.84	7.46
E72	-56.63	12.43
E73	-125.96	-0.59
E74	-91.06	13.40
E75	-76.42	17.67
E76	-64.05	21.95
E77	-52.03	24.05
E78	-40.33	27.28
E79	-28.36	30.63
E80	-16.16	37.83
E81	3.70	-89.93
E82	-132.70	10.40
E83	-98.21	26.31
E84	-86.62	25.85
E85	-72.57	31.57
E86	-59.78	35.31
E87	-47.23	40.03
E88	-35.55	46.35
E89	-25.05	58.35
E90	14.09	-89.98
E91	-136.73	22.56
E92	-127.23	27.92
E93	-115.78	33.66
E94	-105.93	34.12
E95	-94.66	36.22
E96	-81.14	39.93
E97	-68.50	45.78
E98	-56.51	50.15
E99	-44.88	57.26
E100	-34.16	67.82
E101	36.39	-90.00
E102	-131.94	36.54
E103	-123.05	40.33
E104	-111.60	44.80
E105	-102.31	44.84
E106	-90.07	48.56
E107	-77.84	54.59
E108	-65.96	60.75
E109	-54.82	66.55
E110	-44.42	75.68
E111	-126.44	49.62
E112	-118.23	52.71
E113	-107.06	56.62
E114	-98.44	55.50
E115	-86.54	64.27
E116	-75.18	70.55
E117	-64.41	77.46
E118	-54.84	82.29
E119	46.73	-90.00
E120	-123.00	59.55
E121	-114.55	63.37
E122	-103.98	67.93
E123	-91.30	72.38
E124	-83.55	77.11
E125	-74.13	83.85
E126	64.28	-90.00
E127	54.84	-82.28
E128	44.42	-75.67
E129	34.17	-67.81
E130	25.05	-58.34
E131	16.17	-37.81
E132	12.02	17.75
E133	-117.59	69.53
E134	-111.37	74.01
E135	-99.58	78.31
E136	-92.66	84.61
E137	-84.88	90.00
E138	74.13	-83.85
E139	64.41	-77.46
E140	54.82	-66.54
E141	44.88	-57.25
E142	35.56	-46.34
E143	28.37	-30.62
E144	22.03	0.31
E145	-116.65	79.22
E146	-110.04	83.97
E147	-102.06	90.00
E148	92.66	-84.61
E149	83.55	-77.11
E150	75.18	-70.55
E151	65.97	-60.75
E152	56.52	-50.14
E153	47.23	-40.03
E154	40.33	-27.28
E155	33.67	-6.14
E156	110.04	-83.97
E157	99.58	-78.31
E158	91.30	-72.38
E159	86.55	-64.27
E160	77.85	-54.59
E161	68.50	-45.78
E162	59.79	-35.31
E163	52.03	-24.05
E164	45.99	-9.19
E165	116.65	-79.22
E166	111.37	-74.01
E167	103.98	-67.94
E168	98.45	-55.50
E169	90.07	-48.56
E170	81.14	-39.93
E171	72.58	-31.57
E172	64.06	-21.95
E173	56.64	-12.44
E174	117.59	-69.54
E175	114.56	-63.37
E176	107.06	-56.62
E177	102.32	-44.84
E178	94.67	-36.22
E179	86.63	-25.85
E180	76.43	-17.67
E181	66.85	-7.47
E182	55.76	0.74
E183	45.17	7.86
E184	35.12	16.92
E185	25.30	31.94
E186	17.38	67.12
E187	123.00	-59.56
E188	118.23	-52.72
E189	111.60	-44.81
E190	105.94	-34.12
E191	98.22	-26.31
E192	91.06	-13.40
E193	79.58	-3.94
E194	68.11	5.91
E195	57.06	15.16
E196	45.99	24.55
E197	37.36	37.61
E198	28.20	60.41
E199	126.45	-49.63
E200	123.05	-40.33
E201	115.78	-33.66
E202	93.09	0.31
E203	80.46	10.04
E204	69.33	19.67
E205	58.15	29.10
E206	48.11	41.04
E207	39.92	58.31
E208	131.94	-36.55
E209	127.24	-27.92
E210	104.67	6.12
E211	93.66	14.70
E212	82.09	24.49
E213	71.05	33.24
E214	59.96	42.93
E215	52.17	54.99
E216	136.73	-22.57
E217	132.70	-10.40
E218	125.96	0.59
E219	116.10	9.59
E220	106.18	20.43
E221	94.07	30.75
E222	82.49	38.57
E223	71.27	46.78
E224	62.72	54.09
E225	117.54	19.95
E226	119.66	30.48
E227	127.63	13.55
E228	135.07	3.60
E229	140.74	-9.79
E230	124.90	38.24
E231	130.52	24.90
E232	137.12	16.86
E233	142.78	4.30
E234	128.11	47.61
E235	133.49	35.44
E236	139.67	27.80
E237	145.85	17.81
E238	129.40	57.67
E239	138.10	42.83
E240	143.26	34.82
E241	-129.40	-57.68
E242	-138.10	-42.83
E243	-143.25	-34.82
E244	-128.10	-47.61
E245	-133.49	-35.44
E246	-139.67	-27.80
E247	-145.84	-17.81
